Name,Type,Product,Activity,Location,Database,Current_code,New_code
PEM_ELECTROLYSIS_STACK_DECOM,Construction,"used fuel cell stack, 1MWe, PEM","treatment of fuel cell stack, 1MWe, PEM",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccdf97d-f2d9-11ef-a049-7cb566b53d2f,hpgs4y5q0xg24o9pkbeki9du79k70nvf
PET_FORMATION,Operation,"polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate production, granulate, amorphous",CA-QC,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,babaf82e74546e7e6350b412276dabf8,j6q4zucvxoqgc6sxpr28kfa76ggrz6d0
PET_FORMATION,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,cilc0pqa2egyrh34dj48cn6zm5tc8vse
PLANE_FREIGHT_ELD,Construction,"aircraft, dedicated freight, medium haul","market for aircraft, dedicated freight, medium haul",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,924cfab9a399fb752ef99ccfa86b220b,p1qx3ikp3pwvn1ij1kufopy37olvivlf
PLANE_FREIGHT_ELD,Operation,"transport, freight, aircraft, medium haul","transport, freight, aircraft, dedicated freight, medium haul",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,edbdd9d474d397133268c9101d53781f,911tuwzza1hzca2rn3y8gc1rsc9ojlii
PLANE_LH_ELD,Operation,"transport, passenger aircraft, very short haul","transport, passenger aircraft, very short haul",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6b9fb410d90e566d36fd9354ac3d9023,72hhvf7ec1f0o1d5u5s7bcc0hyo61lbc
PLANE_LH_ELD,Construction,"aircraft, passenger, very short haul","market for aircraft, passenger, very short haul",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,28cd90bcb12e7e2db270755a6835281d,frb7wj97p46zrlnc6f66wilmwpe92hrq
PLANE_SH_LD,Construction,"aircraft, passenger, medium haul","market for aircraft, passenger, medium haul",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,cabd72681f96f991a27f63ec71fd1f70,j1wuai5xsd297yzhx3wvgii34dy358fr
PLANE_SH_LD,Operation,"transport, passenger aircraft, medium haul","transport, passenger aircraft, medium haul",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,f671e4277c4c5c2b52f2472637f0270a,1xu8pr98h6vf739qe0gku9hyjc1qnxlf
POLYPROPYLENE_PP,Operation,"polypropylene, granulate","polypropylene production, granulate",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,bced8691ebc1a05af96489b2ce869564,ynyhovelu3l4xulinm7752jxw5u5d6gz
POLYPROPYLENE_PP,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,52wcjti5w5p58u10rwjiidieg1rub57b
PV,Operation,"electricity, low voltage","electricity production, photovoltaic, residential",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,b84e4612720949b79cf8f1644e8763df,7oel8wdn6edq5y4ongx0jsinixjmy42v
PV,Construction,"photovoltaic flat-roof installation, 3kWp, multi-Si, on roof","photovoltaic flat-roof installation, 3kWp, multi-Si, on roof",US,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ec71e22c4ca4418968cb70acce0bb4e,4dpo3mp00lupo7k2urs8ulqxhjlmts5v
PVC_FORMATION,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,rt6vv5sblpozt2te23rcu6uab8pjqrqe
PVC_FORMATION,Operation,"polyvinylchloride, bulk polymerised","polyvinylchloride production, bulk polymerisation",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,aedf0a068e6cf4b2dbf90b3a8e5e7cc2,db8t9r7mh71hglqm5o33xznla23rk8sv
PYROLYSIS,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,0cqehfyclc29sq3eveemefdezlltumap
PYROLYSIS,Operation,light fuel oil,"light fuel oil production, from waste polyethylene",CH,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,a73f7f56dae875471bc2ef893adee901,0d4t0a9gw8ahgnyx265zp8nufvwe6wr4
SCHOOLBUS_BIODIESEL_B100_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,1c3ca9952fef4e2ab6bf60dca087ad12,l7kh8edo504fj0yl27x4p1wrlhqhi5yc
SCHOOLBUS_BIODIESEL_B100_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,cc7fc35475364da3a498c63c7bb46501,txk69dde16nrze9d5kq7g8t1rbnx7unw
SCHOOLBUS_BIODIESEL_B20_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,1c3ca9952fef4e2ab6bf60dca087ad12,752finzupyjin70rfvbk8yy46o3fngg0
SCHOOLBUS_BIODIESEL_B20_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,cc7fc35475364da3a498c63c7bb46501,qirm7z1z9zgzgsptbgilbdvqwu6fb330
SCHOOLBUS_CNG_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,b8b1e8cb1137488b929e77c74999ecd5,v627tmxuxmqtqbwvx7nnog19clxe4faq
SCHOOLBUS_CNG_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,387e39a50aa3431fb4a2032906ed88e9,fmhqs2okqe9f5odkcykn1659nokjr733
SCHOOLBUS_DIESEL_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,1c3ca9952fef4e2ab6bf60dca087ad12,mjiqvzw44be1txv0rdrjfziblivaw4ru
SCHOOLBUS_DIESEL_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,cc7fc35475364da3a498c63c7bb46501,g22fok06ugjnv72iagf96vlfmasg9j9a
