Name,Activity name,Activity code,Amount
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, laser printer, municipal incineration",a5cp9js1a08lsugbasaub12tqqfov6ip,0.0003085892768496114
DHN_COGEN_WASTE,"treatment of waste building wood, chrome preserved, municipal incineration",0do11duipb2aub7ugbxxc9tlryu3uz5n,0.0009529835823144692
DHN_COGEN_WASTE,"treatment of waste bitumen sheet, municipal incineration",244x4w38eft0915g3om55k2a7klchokx,0.005279233372988365
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from particle board production, municipal incineration",3lizq5mruvn4ykfd8fqlcn8qdraew9tj,1.932304204860208e-08
DHN_COGEN_WASTE,"treatment of waste polyethylene, municipal incineration",h0fxknelzy8xjaiumfem5y0s2ojs9i9c,0.08400399415691528
DHN_COGEN_WASTE,"treatment of waste graphical paper, municipal incineration",gwvdnuhoy6jxptl1y2s06tlp6c6z0e8p,0.1236802245579232
DHN_COGEN_WASTE,"treatment of digester sludge, municipal incineration",scwpespk77usdsp4t7awgurp58yktktd,0.003369980952428378
DHN_COGEN_WASTE,"treatment of waste sealing sheet, polyvinylchloride, municipal incineration",ud10rfvychzenozol1viq5wtiaj5dxsq,0.00087992986490036
DHN_COGEN_WASTE,"treatment of waste polyethylene terephthalate, municipal incineration",q4mzxziih7uwjxt8w1agmgnd047fzzsu,0.01520554771454857
DHN_COGEN_WASTE,"treatment of waste packaging paper, municipal incineration",7eoelnbotbl2kgkvba6uwmirnhqvqc9t,0.04439072395674384
DHN_COGEN_WASTE,"treatment of waste polyurethane, municipal incineration",5exh795e7d1qg2l8s7nshn2a5onu32rg,0.02012305711870778
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration",sdzuh88bh8upa5pr90t5cgvj9x83qrf6,3.026944379141186e-05
DHN_COGEN_WASTE,"treatment of waste paint, municipal incineration",4p6t7qo8vhdsuauk4k66djkwduscr7l6,0.0009652743877517511
DHN_COGEN_WASTE,"treatment of waste expanded polystyrene, municipal incineration",zc67yay1246ahhv4uy7cixuew3avagwy,0.007089582299203097
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, cathode ray tube display, municipal incineration",v3zrjpwxwx05fwg1lvd23hpjucevfu2m,0.0003639631301084718
DHN_COGEN_WASTE,"treatment of waste vapour barrier, flame-retarded, municipal incineration",sfejhtbziurxur0jn0l05irmjjz6e8y1,0.000314831263118604
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, liquid crystal display, municipal incineration",pjz8g6lhi8co6443w2wh9ajk1ju5i4sj,0.001440757633971753
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from liquid crystal production, municipal incineration",aut2gzmc0ljeyh8uy51csitalc94rlij,1.015318790529243e-12
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from grass refinery, municipal incineration",4c2pxpqikidt1cyorsleibepvs2ts4yw,1.259386852704175e-05
DHN_COGEN_WASTE,"treatment of waste plastic, consumer electronics, municipal incineration",ma9c7vtcxcjz4fo8tvm68sbmi1d6a09k,0.003917754151879025
DHN_COGEN_WASTE,"treatment of waste emulsion paint, municipal incineration",plqlk3q3rquo3lt9rfxakjhs5mtks3tj,0.000732471986898891
DHN_COGEN_WASTE,"treatment of waste glass, municipal incineration",3famadmd2ikgj6vaskulvq2z7igqv1ky,0.000170158966407633
DHN_COGEN_WASTE,"treatment of waste paperboard, municipal incineration",7oafnnpl1krjtr6eqmw8uuogcwdgoc5t,0.03241596608807133
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from soft fibreboard production, municipal incineration",0f356oywclur4huccg5b8ye58zqiuru5,4.588092984105681e-05
DHN_COGEN_WASTE,"treatment of waste polystyrene, municipal incineration",fm4yc5lefu17hlvagrtwuuzro48ss3pz,0.01748793604559293
