Name,Flow,Comment,ESM efficiency,LCA input unit,LCA input product,LCA input quantity,Output conversion factor,LCA output unit,ESM output unit,Input conversion factor,LCA efficiency,efficiency_ratio
CAR_PROPANE_ELD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8315018315018314,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,1.0246471347443895
CAR_PROPANE_LD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8315018315018314,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,1.0246471347443895
CAR_PROPANE_MD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8315018315018314,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,1.0246471347443895
CAR_PROPANE_SD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",1.8315018315018314,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,1.0246471347443895
CCGT,['NG_HP'],,0.630119722747322,cubic meter,natural gas,0.17062267180032373,1.0,kilowatt hour,kilowatt hour,0.09824437305353337,0.5757990542341687,0.9137930990696257
CCGT_CC,['NG_HP'],,0.5701254275940707,cubic meter,natural gas,0.2068145390620961,1.0,kilowatt hour,kilowatt hour,0.09824437305353337,0.4750361048070971,0.8332133278316484
COACH_BIODIESEL_B100_ELD,['BIO_DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_BIODIESEL_B100_LD,['BIO_DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_BIODIESEL_B100_MD,['BIO_DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_BIODIESEL_B20_ELD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",8.264462809917356,kilogram,diesel,0.02031894519426772,1.0,person kilometer,person kilometer,0.08453085376162299,4.160198915516068,0.5033840687774441
