Name,Activity name,Activity code,Amount
CO2_TO_DIESEL,"diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation",3g5atwd7pkkuqdbij3rx42292m4gfemp,1.0
CO2_TO_DIESEL,"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",r19y0fcu9l40hrxxfgcnr7mo5oasyoez,2.26
CO2_TO_JETFUELS,"kerosene production, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation",9aiqbnr7kivbva50l2hd6c7l8byeudln,1.0
CO2_TO_JETFUELS,"methanol synthesis and distillation, hydrogen from electrolysis, CO2 from cement plant",o324wi6f13babhtufpa3viujqh8207ii,2.373
COACH_BIODIESEL_B100_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",yblujyy3p7gkwum7hdiw0opbdjl8ud8z,1.0
COACH_BIODIESEL_B100_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",jfobos0m7i7ocm7nf1n8dyqi62suafqh,1.0
COACH_BIODIESEL_B100_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",c8gas665ncset3jjq5e9m88ikbt1wr4i,1.0
COACH_BIODIESEL_B20_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",ah6hku4cilxw4snqku7gme473mxezz4t,1.0
COACH_BIODIESEL_B20_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",tvt43mx8smp0us5lyk5mxe1d0pfb3u3i,1.0
COACH_BIODIESEL_B20_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",qw43gw9d8if2hffi37eld700foyqydel,1.0
COACH_CNG_ELD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",mfhik4j4f4nax7wg741r4df5bvjmse5m,1.0
COACH_CNG_LD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",csbxw7tjjmvonay2ebhp5a3u4zldyuhc,1.0
COACH_CNG_MD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",5fk56a1qkuig3laud35lhs8i44nmh7ds,1.0
COACH_DIESEL_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",ogwqhe563tgci7vn91f634y7uzggxhh0,1.0
COACH_DIESEL_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",gy3lcus95yrm33m44bon8i6zveol2i5h,1.0
COACH_DIESEL_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",4gxxgpc72uub8887zkfc5d9a63697wpw,1.0
COACH_ETOH_E10_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",6pyal6xe0ubr0pgf1ves4dmf6x6jniju,1.0
COACH_ETOH_E10_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",qwurp7ckxeltynfwpdmbvw4dau24113s,1.0
COACH_ETOH_E10_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",vornxgwpsypkuq0e38nnz86wu609q8fa,1.0
