Name,Type,Product,Activity,Location,Database,Current_code,New_code
COACH_ETOH_E10_MD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,9c3661589a10423597dfa0df8cd1babf,jigqgv8jbuppzk1qyi9qpeq0vt0b2uzi
COACH_ETOH_E10_MD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,99331f4b65af4dcca26bdc71a9b2c196,etct7cdcsuiakc4d22t2llo0lndktgzr
COACH_EV_ELD,Operation,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,0ef1292279294dcb9e22dedd364bd7aa,lt7oiruvcvsi2o4cs3l2uss2z0wzr74k
COACH_EV_ELD,Construction,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4e11482272584e6ca7dccf3d1c2cc99d,blzl7r4p7pyqezvdb81yfsecihgv60ga
COACH_EV_LD,Operation,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,0ef1292279294dcb9e22dedd364bd7aa,9svwdk9kygzs2w8qwb8nlcv5tjp8n01x
COACH_EV_LD,Construction,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4e11482272584e6ca7dccf3d1c2cc99d,yqy8607rei5bsgq4gwkyn9wbhr5a9ffq
COACH_EV_MD,Operation,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,0ef1292279294dcb9e22dedd364bd7aa,oydiq8961llv0phld1nx0tuatylhkdv8
COACH_EV_MD,Construction,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4e11482272584e6ca7dccf3d1c2cc99d,cfmhnj1srn07wxlvxnfnf906ncqgkgik
COACH_FC_CH4_ELD,Operation,"transport, passenger bus","transport, passenger bus, fuel cell electric, 13m single deck coach bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,d8d23b285f284c2a99f49b304e65f490,3j9mdboe3aj5jeievp739ef1gjyvpz03
COACH_FC_CH4_ELD,Construction,passenger bus,"passenger bus, fuel cell electric, 13m single deck coach bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,175233be2ec94a5892b49acf8a787017,ojxqq4rq75ez6w30jf11vproah4p7m6m
COACH_FC_CH4_LD,Operation,"transport, passenger bus","transport, passenger bus, fuel cell electric, 13m single deck coach bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,d8d23b285f284c2a99f49b304e65f490,lm0dyrfnoqokaoixydvryvzn7hcezqdz
COACH_FC_CH4_LD,Construction,passenger bus,"passenger bus, fuel cell electric, 13m single deck coach bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,175233be2ec94a5892b49acf8a787017,8sfuk7bjdpehwk58x0obitzsm96cuivl
COACH_FC_CH4_MD,Operation,"transport, passenger bus","transport, passenger bus, fuel cell electric, 13m single deck coach bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,d8d23b285f284c2a99f49b304e65f490,wpzxwuk5l5hbouy3k7awhhnm9cg5b381
COACH_FC_CH4_MD,Construction,passenger bus,"passenger bus, fuel cell electric, 13m single deck coach bus",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,175233be2ec94a5892b49acf8a787017,bb4d34pw8iz4q7984gdv8tnusnhmd6ay
COACH_GASOLINE_ELD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,99331f4b65af4dcca26bdc71a9b2c196,5x2vxtbw1zxacurhjxaffpkb17cp6i6f
COACH_GASOLINE_ELD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,9c3661589a10423597dfa0df8cd1babf,96buyjfm6ehqf783jv0f25l0uff2tj24
COACH_GASOLINE_LD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,99331f4b65af4dcca26bdc71a9b2c196,yagvsqgzu6j7h1xsnl7tnnowww87tnei
COACH_GASOLINE_LD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,9c3661589a10423597dfa0df8cd1babf,tcc3fpus55p56mbidvcznd56riwdzs0g
COACH_GASOLINE_MD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,99331f4b65af4dcca26bdc71a9b2c196,4rac8omluaf157aqie3466wd7bjifcdw
COACH_GASOLINE_MD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,9c3661589a10423597dfa0df8cd1babf,1x1tyxembol4qn7xxv2cfwhkpooq1i6k
COACH_HY_DIESEL_ELD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,26ff2e23156049ba8e5c2e30d588247f,5veh4hrnknfhxbzvv58supd3zryj0jey
COACH_HY_DIESEL_ELD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,cfbc745f59a0402592994f83d0a0439d,sf56fnmngfhwbrv9ghwfrt819ptb4ifz
COACH_HY_DIESEL_LD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,26ff2e23156049ba8e5c2e30d588247f,dss2ml4o44yuu3pmkudgd0tnmi00mwnz
COACH_HY_DIESEL_LD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,cfbc745f59a0402592994f83d0a0439d,5kpyvr3knc6e6hv4r735rioka1jadfe8
COACH_HY_DIESEL_MD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,26ff2e23156049ba8e5c2e30d588247f,5v8wnupirijt6zr7trjhvwxjd9ghdfgo
COACH_HY_DIESEL_MD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,cfbc745f59a0402592994f83d0a0439d,kklf3g8yikj6bpxdzg5yajdb454qb9ka
COACH_PROPANE_ELD,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7e379e8c1b4f4b3d96c6d5fa83d9bf28,kzhyax5zkr812cufj9mpqv78dgncxsn2
COACH_PROPANE_ELD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,10c27f6356bd40a4aa741b2ee02403f2,bpg2m1oi9o172d8w2k9z1od6ej4vpq6s
COACH_PROPANE_LD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,10c27f6356bd40a4aa741b2ee02403f2,nw1uscjs0y4yoq92rwcrjkvv8ilpj2or
COACH_PROPANE_LD,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7e379e8c1b4f4b3d96c6d5fa83d9bf28,gsgyf060whv29fvb3priv3yyjsu6bcsi
COACH_PROPANE_MD,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7e379e8c1b4f4b3d96c6d5fa83d9bf28,8ymcgs25s1og6w28v3z94k30c66yjykv
